names	A_loading	AUCs	corrs	color
HLA.DRA	1	0.487682744842308	-0.0203603075109613	Blue
HLA.DRB1	1	0.559461455608555	0.0985239804500005	Red
CD74	0.172164107981036	0.575509785388228	0.124720856567565	Red
HLA.DQA1	0.16652761441548	0.467891910110713	-0.0583469367854407	Blue
HLA.DPB1	0.158680368358759	0.527360937091665	0.0472844343248644	Red
HLA.DMA	0.134323156147528	0.546918378163185	0.0830499349506439	Red
HLA.DQB1	0.0964031284104326	0.523017802494645	0.0452110353173966	Red
SNRPC	0.0891543757627315	0.467029164437997	-0.0576624442660236	Blue
ZC3H7A	0.088170835617575	0.497291060651578	-0.00494299218265334	Blue
VEZT	0.0863602183792124	0.501273993312768	0.00225882544172452	Red
HSP90B1	0.000892495315830503	0.936998072963606	0.721791030908088	Red
GLCCI1	0.00416702034237949	0.922916150714274	0.737010895786215	Red
TXNDC5	0.0182077771052013	0.907944128156469	0.69248205475245	Red
CEP128	0.0308759815566969	0.89844977371366	0.664150306062268	Red
MZB1	0.00653053733562602	0.890742947022375	0.650198743420194	Red
FNDC3A	0.0022310304412865	0.85888129309271	0.594799132200668	Red
MAN1A1	0.00600872419613447	0.856852165290387	0.589646006302268	Red
ELL2	0.0121182161828119	0.856560740724458	0.593875819891369	Red
SUB1	0.00500290851531917	0.852976355336718	0.583709348028073	Red
RNF213	0.0379349789596361	0.847269054824063	0.573681649228846	Red
